Id,Id_Hote,Nom_Hote,Quartier,Latitude,Longitude,Type,Prix,Min_nuits,Dernier_avis,Avis_par_mois,Disponibilite
2788664,9024891,Jules,Ménilmontant,48.84790651538264,2.4014826395843927,Entire_home/apt,55,3,2015-02-11,0.29,332
2912397,7734570,Olivier,Ménilmontant,48.86134819442914,2.401395111864395,Entire_home/apt,49,4,2015-08-22,3.36,171
830606,4350788,Catherine,Ménilmontant,48.862759529459325,2.4062398644836924,Entire_home/apt,50,2,2015-08-23,1.41,101
4434726,9846692,Julie,Ménilmontant,48.855481975102045,2.4038731191539657,Entire_home/apt,57,2,2015-07-07,1.88,349
6981068,12417393,Philippe,Ménilmontant,48.864843761251365,2.4014192092959186,Entire_home/apt,45,14,,,365
5843730,27421781,Nastassja,Ménilmontant,48.85274986067861,2.408662902276728,Entire_home/apt,35,4,,,100
701878,3239549,Frederic,Ménilmontant,48.862273617308105,2.402995395126211,Private_room,60,1,2015-06-30,0.22,269
758510,3996403,Julien,Ménilmontant,48.85720843821226,2.396639054739608,Entire_home/apt,50,2,2014-09-19,0.17,214
1199956,4229832,Mile,Ménilmontant,48.85847892195977,2.403649726123652,Entire_home/apt,117,7,,,361
3317989,16750576,Renaud,Ménilmontant,48.86747413867199,2.396857721792973,Entire_home/apt,180,2,2015-08-20,2.88,329
6396987,19503690,Alessandro,Ménilmontant,48.86920134284261,2.4025913352721,Private_room,50,1,2015-06-09,0.34,8
7294552,8338800,Synthia,Ménilmontant,48.87209396304063,2.3986206885372297,Private_room,45,1,,,340
1337869,7254118,Maria-Ines,Ménilmontant,48.86452111214936,2.3994694230021394,Entire_home/apt,60,3,2015-08-10,1.32,242
6060584,31456082,Guillermo,Ménilmontant,48.8630166444256,2.3907037519854235,Private_room,60,1,,,112
7394140,14129590,Nadia,Ménilmontant,48.86307690497526,2.4024818798708067,Private_room,30,1,2015-08-16,1.0,22
7559360,38922949,Mirko,Ménilmontant,48.86503295924479,2.387911958462354,Private_room,53,1,,,365
1297260,7053043,Baptiste,Ménilmontant,48.867230000490544,2.401958478592451,Entire_home/apt,55,4,2015-08-30,1.33,244
2961590,15115343,Romain&Nina,Ménilmontant,48.87134817595825,2.396068912123355,Private_room,60,1,2015-08-12,4.67,58
598398,2950469,Cigaline,Ménilmontant,48.86689434523983,2.3897774712429483,Entire_home/apt,55,3,2015-08-24,1.25,106
1908809,9905705,,Ménilmontant,48.8668969947526,2.401713698588292,Entire_home/apt,65,2,2015-04-07,0.6,241
6961917,36426574,Stephen,Ménilmontant,48.86030569112436,2.3888169062893936,Entire_home/apt,55,3,2015-08-26,2.73,0
2150160,3904491,Quentin,Ménilmontant,48.86412038831092,2.3875557593451453,Private_room,39,1,2015-08-19,5.27,324
4605116,19905908,Orianne & Aurelien,Panthéon,48.84756668143228,2.3529885072102843,Entire_home/apt,90,4,2015-08-23,1.15,0
518231,2550681,Marine,Panthéon,48.84078189298781,2.347752265837274,Entire_home/apt,160,2,2015-07-17,0.31,310
1298623,6501023,Christian,Panthéon,48.84709296011592,2.3519631470799083,Entire_home/apt,54,1,2015-08-27,1.04,346
4270069,22115405,Zoé,Panthéon,48.84206388596883,2.3479132430550864,Entire_home/apt,80,2,2015-07-25,0.86,326
7346273,9488817,Camille,Panthéon,48.84041005868946,2.35042646815498,Entire_home/apt,130,3,,,361
7708176,1381623,Mélodie,Panthéon,48.84124352382529,2.3561334629664725,Entire_home/apt,70,6,,,306
4741565,24476383,Romain,Panthéon,48.838167093113725,2.3505249864401803,Private_room,50,1,2015-08-07,3.57,345
62266,302914,Catherine,Panthéon,48.85250429431406,2.3462143990573963,Entire_home/apt,100,4,2015-08-27,1.67,33
2359059,12047484,Marie,Panthéon,48.84785296463125,2.3534943678038105,Private_room,76,2,2015-06-27,0.99,356
7428988,9994778,Laurent,Panthéon,48.84045667996055,2.3522958889725736,Private_room,50,1,2015-08-07,1.0,355
2767214,12724287,Véronique,Panthéon,48.843586191198646,2.352267534081333,Entire_home/apt,270,4,2014-07-28,0.07,0
1379923,7473606,Yuliya,Panthéon,48.85016650299556,2.3478851833770755,Entire_home/apt,120,2,2015-06-07,0.58,346
5047810,25587141,Anna,Panthéon,48.85190883959336,2.344494020868351,Entire_home/apt,39,5,2015-08-28,5.37,89
3855985,17546277,Alain,Panthéon,48.84720488451433,2.3520204271685485,Entire_home/apt,49,1,2015-08-17,0.84,345
1062940,5056483,Bettina,Panthéon,48.85249128877332,2.3450358232101234,Entire_home/apt,244,3,2014-09-30,0.09,248
653920,3288844,Sara,Panthéon,48.840664080486256,2.354530349845991,Entire_home/apt,55,2,2015-08-15,2.6,325
1766886,8946814,Henry,Panthéon,48.83814505728796,2.3523216042903723,Entire_home/apt,120,7,,,320
2216251,11161974,Luca,Panthéon,48.83975268666779,2.3494709363849706,Entire_home/apt,90,3,2015-08-28,2.15,276
7285548,23302141,Gerardo,Panthéon,48.84337986080176,2.3421072162383423,Entire_home/apt,53,2,2015-08-16,1.0,35
845127,4411946,Maxime,Panthéon,48.84304376026157,2.3492672541469464,Entire_home/apt,65,1,2015-04-14,0.47,334
5667159,29380075,Frédéric,Panthéon,48.85236570612234,2.344148145522001,Private_room,35,1,2015-07-17,1.42,45
3987779,338116,,Panthéon,48.84583086307078,2.3432799557889665,Entire_home/apt,148,5,,,314
5610652,29037099,Fanny,Panthéon,48.846753142114686,2.3520740952127053,Entire_home/apt,80,4,2015-07-23,2.6,259
366270,1849269,Violaine,Panthéon,48.8519611430276,2.3457571171867566,Entire_home/apt,145,2,2015-08-13,0.69,337
7234759,11617938,Ania,Panthéon,48.84103669291557,2.3444387809857443,Private_room,55,1,2015-07-12,0.56,30
4114348,6069757,Marie-Liesse,Panthéon,48.84533289062022,2.3545703371466464,Entire_home/apt,70,1,2014-11-05,0.19,321
5160091,25495154,Nathalie,Panthéon,48.84769398002968,2.3521767632952653,Entire_home/apt,290,2,2015-09-01,3.91,85
5332678,27457672,Stephanie,Panthéon,48.8395748945663,2.3508952638491705,Entire_home/apt,140,2,2015-06-08,0.73,310
7411758,38437622,Alaric,Panthéon,48.8397816751156,2.3510701197097514,Entire_home/apt,120,4,,,20
3257675,16474641,Erwan,Panthéon,48.84080416763118,2.3562145667836267,Entire_home/apt,90,3,,,365
5353770,25780033,Tridib,Panthéon,48.83719892661544,2.3483706179529102,Entire_home/apt,60,1,,,51
5485559,28442898,Dey,Panthéon,48.84015592415715,2.360101957402639,Entire_home/apt,85,1,,,153
6091303,16703217,,Panthéon,48.8465913326942,2.3409760441535923,Entire_home/apt,40,6,2015-08-08,2.01,39
755512,3841559,Regis,Panthéon,48.84913735700428,2.347839942376873,Entire_home/apt,110,2,2015-08-21,3.22,314
8062020,33116206,Sava,Panthéon,48.84469836548425,2.3533092121668218,Entire_home/apt,180,5,,,224
2158285,11013529,Dd,Panthéon,48.85124369248748,2.349405593725705,Entire_home/apt,68,3,2015-09-01,3.02,206
1311796,5474622,Atenteaute,Panthéon,48.84654664341018,2.3545019495515334,Entire_home/apt,100,2,2015-08-22,0.49,272
6432515,33571669,Isabelle,Panthéon,48.84204764739096,2.3379547651839045,Entire_home/apt,180,4,,,244
4975763,8930022,Julien,Panthéon,48.83961743411546,2.3532850904550475,Entire_home/apt,110,1,2015-07-13,0.6,365
975022,5332471,Marc,Panthéon,48.84342196497518,2.345772561518652,Entire_home/apt,69,2,2015-08-05,1.66,306
6435450,30030914,Olivier,Panthéon,48.84088492088757,2.35862013868186,Private_room,57,2,2015-08-11,2.22,0
3851319,7770862,Jessica,Panthéon,48.83995629252212,2.359073668328572,Entire_home/apt,47,2,2015-08-22,4.12,310
8028819,6874461,Margot,Panthéon,48.84635409001854,2.3438162253242405,Entire_home/apt,83,1,,,307
42698,186519,Bob,Panthéon,48.841225537011525,2.341690256118288,Entire_home/apt,150,4,2015-08-20,1.38,174
164762,746383,Gaële Et Emo,Panthéon,48.84129250865076,2.3388974511674734,Entire_home/apt,250,4,2015-07-08,0.44,348
3515929,17703358,Laurence,Panthéon,48.8431390182636,2.3550922591320886,Entire_home/apt,75,7,2015-06-30,0.58,323
4665395,213778,Kanoelani,Panthéon,48.84351038322296,2.3436259180102166,Private_room,49,2,2015-08-12,0.61,243
8004017,7236516,Lola,Panthéon,48.84419249919623,2.3411434620627505,Entire_home/apt,24,5,,,74
4912579,15993437,Mike,Panthéon,48.84202310493236,2.3484212169044514,Entire_home/apt,250,6,,,365
4774663,24625594,Thierry,Panthéon,48.84792819583657,2.348944063072216,Entire_home/apt,95,4,2015-08-26,3.16,97
450684,2177318,Pauline,Panthéon,48.84284385142743,2.3509538697659385,Entire_home/apt,42,5,2015-07-26,1.75,318
3305756,16695249,Lauren,Panthéon,48.842830949790965,2.34343560871564,Entire_home/apt,65,20,2014-08-02,0.08,234
