nom_commercial,ar,quartier,etoiles,nb_chambres,lat,long
HÔTEL LOUVRE MONTANA,1,Louvre,4,25,48.86448,2.331768
HÔTEL LOUVRE RICHELIEU,1,Louvre,3,13,48.866477,2.337195
RELAIS DES HALLES,1,Louvre,3,19,48.863213,2.34891
HÔTEL OPÉRA MAINTENON,1,Louvre,2,19,48.866795,2.335859
HÔTEL SNOB,1,Louvre,4,24,48.862409,2.349543
HÔTEL MELIÀ VENDÔME,1,Louvre,4,83,48.866803,2.325771
HÔTEL CASTILLE PARIS,1,Louvre,5,108,48.868719,2.327226
HÔTEL LOUVRE PIEMONT,1,Louvre,3,20,48.864846,2.336507
BEST WESTERN PREMIER LOUVRE SAINT HONORÉ,1,Louvre,4,37,48.861753,2.340663
HÔTEL LOUVRE RIVOLI,1,Louvre,3,32,48.858432,2.346484
HÔTEL MANSART,1,Louvre,4,57,48.868507,2.329823
HÔTEL BRIGHTON,1,Louvre,4,61,48.864846,2.329027
HÔTEL DU CONTINENT,1,Louvre,3,25,48.866326,2.326858
HÔTEL CAMBON,1,Louvre,4,40,48.866395,2.325239
THE WESTIN PARIS VENDÔME,1,Louvre,4,428,48.865715,2.327482
HÔTEL FLOR RIVOLI,1,Louvre,2,20,48.859178,2.345177
MAISON ALBAR HÔTEL PARIS CÉLINE,1,Louvre,5,60,48.860751,2.344627
HÔTEL MOLIÈRE,1,Louvre,4,32,48.865385,2.336211
HÔTEL THÉRÈSE,1,Louvre,4,43,48.865848,2.336134
HÔTEL NOLINSKI PARIS,1,Louvre,5,45,48.865471,2.334758
HÔTEL LA TAMISE,1,Louvre,4,19,48.864856,2.329545
HÔTEL RÉGINA,1,Louvre,5,99,48.863961,2.332599
HÔTEL LOUVRE BONS ENFANTS,1,Louvre,3,33,48.862801,2.338203
HÔTEL CRAYON,1,Louvre,3,26,48.863976,2.341443
HÔTEL COSTES,1,Louvre,5,82,48.866845,2.32783
GOLDEN TULIP WASHINGTON OPÉRA,1,Louvre,4,36,48.866261,2.337249
MANDARIN ORIENTAL PARIS,1,Louvre,5,138,48.867082,2.327129
DRAWING HÔTEL,1,Louvre,4,48,48.864478,2.336164
HÔTEL CRAYON ROUGE,1,Louvre,4,17,48.864487,2.340447
HÔTEL NOVOTEL PARIS LES HALLES,1,Louvre,4,285,48.86073,2.346533
HÔTEL RENAISSANCE PARIS VENDÔME,1,Louvre,5,97,48.86544,2.329576
HÔTEL BEST WESTERN PARIS LOUVRE OPÉRA,1,Louvre,3,20,48.866569,2.335026
HÔTEL LE MEURICE,1,Louvre,5,161,48.865159,2.328065
HÔTEL DE LA PLACE DU LOUVRE,1,Louvre,3,20,48.85927,2.34089
HÔTEL LONDRES SAINT-HONORÉ,1,Louvre,2,28,48.865055,2.331972
HÔTEL DU LOUVRE,1,Louvre,5,177,48.863888,2.335063
HÔTEL LE RELAIS SAINT HONORÉ,1,Louvre,3,17,48.865193,2.331565
GRAND HÔTEL DU PALAIS ROYAL,1,Louvre,5,68,48.863111,2.337787
HÔTEL LE PRADEY,1,Louvre,4,28,48.864444,2.331542
HÔTEL MAYFAIR PARIS,1,Louvre,4,47,48.866092,2.326181
HÔTEL ODYSSEY,1,Louvre,3,29,48.865038,2.341705
HÔTEL DES DUCS D'ANJOU,1,Louvre,4,38,48.859823,2.347111
GRAND HÔTEL DECHAMPAIGNE,1,Louvre,3,44,48.858819,2.34523
HÔTEL SAINT HONORÉ,1,Louvre,3,24,48.861209,2.343611
TONIC HÔTEL DU LOUVRE,1,Louvre,3,35,48.860618,2.343779
HÔTEL PRINCE ALBERT LOUVRE,1,Louvre,3,30,48.865995,2.331574
HÔTEL DES TUILERIES,1,Louvre,4,24,48.866107,2.331536
HÔTEL LE BURGUNDY,1,Louvre,5,59,48.868001,2.325779
HÔTEL AGORA,1,Louvre,2,30,48.861374,2.348636
HÔTEL BRITANNIQUE,1,Louvre,3,39,48.858255,2.346361
HÔTEL OPÉRA RICHEPANSE,1,Louvre,4,39,48.868693,2.325211
HÔTEL DUMINY VENDÔME,1,Louvre,4,78,48.865454,2.329216
SAINT ROCH HÔTEL,1,Louvre,2,22,48.865739,2.332396
HÔTEL ROYAL SAINT HONORÉ,1,Louvre,4,72,48.865836,2.330026
SAINT JAMES ALBANY HÔTEL SPA,1,Louvre,4,186,48.864269,2.330796
HÔTEL RITZ PARIS,1,Louvre,5,159,48.867948,2.32888
HÔTEL LE RELAIS DU LOUVRE,1,Louvre,4,21,48.859259,2.340989
HÔTEL VICTORIA CHÂTELET,1,Louvre,3,24,48.85798,2.346671
HÔTEL LOUVRE SAINTE-ANNE,1,Louvre,3,20,48.866449,2.335683
LE ROCH HÔTEL & SPA,1,Louvre,5,37,48.866178,2.332869
HOTEL HANDSOME,1,Louvre,3,22,48.862213,2.348831
HÔTEL DE VENDÔME,1,Louvre,5,29,48.867022,2.328725
HÔTEL DU CYGNE,1,Louvre,2,20,48.863145,2.349403
HÔTEL LUMEN PARIS LOUVRE,1,Louvre,4,38,48.86524,2.333034
TIMHOTEL LE LOUVRE,1,Louvre,3,56,48.862458,2.339435
PAVILLON LOUVRE RIVOLI,1,Louvre,3,29,48.865226,2.336218
HÔTEL ICÔNE,2,Bourse,3,30,48.871079,2.338985
HÔTEL ÉTATS-UNIS OPÉRA,2,Bourse,3,45,48.869045,2.333653
HÔTEL BABY,2,Bourse,2,22,48.86894,2.351569
HÔTEL WESTMINSTER,2,Bourse,4,102,48.869325,2.331098
HÔTEL EDOUARD VII,2,Bourse,4,69,48.868344,2.333066
HÔTEL LA MAISON FAVART,2,Bourse,4,39,48.870766,2.337342
BEST WESTERN LES THÉÂTRES,2,Bourse,4,38,48.869587,2.351703
HÔTEL VIVIENNE,2,Bourse,2,44,48.871081,2.341374
HÔTEL TRYP FRANÇOIS,2,Bourse,4,71,48.871392,2.342629
HÔTEL BELLAN,2,Bourse,2,17,48.866638,2.34574
HÔTEL VICTOIRES OPÉRA,2,Bourse,4,24,48.864904,2.346922
HÔTEL LE CLÉRY,2,Bourse,3,21,48.869984,2.350434
HÔTEL ASCOT OPERA,2,Bourse,3,36,48.868265,2.335253
TIMHOTEL PALAIS ROYAL,2,Bourse,3,46,48.866399,2.340008
HÔTEL SAINT-MARC,2,Bourse,4,26,48.870814,2.338224
HÔTEL ÎLE DE FRANCE OPÉRA,2,Bourse,3,19,48.868934,2.334702
HÔTEL BACHAUMONT,2,Bourse,4,49,48.866218,2.344829
HÔTEL MERCURE PARIS OPÉRA LOUVRE,2,Bourse,4,106,48.871144,2.339553
HÔTEL ROYAL ABOUKIR,2,Bourse,3,35,48.868548,2.349849
HÔTEL VOLNEY OPÉRA,2,Bourse,3,29,48.869794,2.330212
HÔTEL CYRNOS,2,Bourse,3,23,48.869728,2.343029
HÔTEL PARK HYATT PARIS VENDÔME,2,Bourse,5,153,48.86881,2.330583
HÔTEL DE NOAILLES,2,Bourse,4,56,48.869591,2.334636
HÔTEL STENDHAL PLACE VENDÔME PARIS MGALLERY BY SOFITEL,2,Bourse,4,20,48.868103,2.331293
HÔTEL SQUARE LOUVOIS,2,Bourse,4,50,48.868429,2.336788
HÔTEL CHOISEUL OPÉRA,2,Bourse,3,46,48.869108,2.332435
HÔTEL LAUTREC OPÉRA,2,Bourse,3,59,48.871206,2.33836
HÔTEL BONNE NOUVELLE,2,Bourse,3,21,48.86932,2.349507
HÔTEL MALTE OPÉRA,2,Bourse,4,64,48.867153,2.337554
HÔTEL FRANCE D'ANTIN OPÉRA,2,Bourse,4,30,48.869283,2.333936
HÔTEL TIQUETONNE,2,Bourse,1,45,48.864469,2.349564
BEST WESTERN HÔTEL GAILLON OPÉRA,2,Bourse,3,26,48.868437,2.334066
LYRIC HÔTEL PARIS,2,Bourse,4,47,48.869001,2.336788
HÔTEL GRAMONT OPERA,2,Bourse,3,25,48.870557,2.336979
HÔTEL LOUVRE MARSOLLIER OPÉRA,2,Bourse,3,28,48.868162,2.334656
123 SÉBASTOPOL HÔTEL,2,Bourse,4,63,48.867618,2.353071
HÔTEL DAUNOU OPERA,2,Bourse,3,50,48.869349,2.332176
HÔTEL BAUDELAIRE OPÉRA,2,Bourse,3,29,48.86799,2.336257
HÔTEL PARIS FRANCE,3,Temple,3,46,48.86637,2.360545
HÔTEL DE ROUBAIX,3,Temple,2,53,48.865483,2.352849
HÔTEL LA CHAMBRE DU MARAIS,3,Temple,4,19,48.863584,2.360857
HÔTEL JACQUES DE MOLAY,3,Temple,3,23,48.863443,2.360871
VILLA BEAUMARCHAIS,3,Temple,4,50,48.859069,2.366764
HÔTEL DU PLAT D'ÉTAIN,3,Temple,3,46,48.868506,2.355786
HÔTEL AMÉRICAIN,3,Temple,2,36,48.864778,2.364875
MY HÔTEL IN FRANCE LE MARAIS,3,Temple,3,38,48.861564,2.364989
HÔTEL DU VIEUX SAULE,3,Temple,3,27,48.863349,2.362317
HÔTEL PARIS BRUXELLES,3,Temple,2,36,48.867346,2.362421
AUSTIN'S ARTS ET MÉTIERS HÔTEL,3,Temple,3,29,48.865939,2.357081
HÔTEL ÉCOLE CENTRALE,3,Temple,3,22,48.865098,2.356556
LITTLE PALACE HOTEL,3,Temple,4,53,48.867509,2.35399
HÔTEL MESLAY RÉPUBLIQUE,3,Temple,3,39,48.86725,2.362241
LES TOURNELLES,3,Temple,3,24,48.856956,2.364548
MURANO PARIS,3,Temple,4,51,48.863964,2.365944
HÔTEL LE PAVILLON DE LA REINE,3,Temple,4,54,48.856216,2.365979
HÔTEL LE RELAIS DU MARAIS,3,Temple,3,37,48.866443,2.360864
HÔTEL DU PETIT MOULIN,3,Temple,4,17,48.861638,2.36206
HÔTEL BEST WESTERN FRANCE EUROPE,3,Temple,4,43,48.868742,2.354167
HÔTELS LES BAINS,3,Temple,5,39,48.863922,2.351998
HÔTEL GEORGETTE,3,Temple,4,19,48.863245,2.352683
HOTEL DE LUTÈCE,4,Hôtel-de-Ville,3,23,48.852464,2.354637
HÔTEL LE COMPOSTELLE,4,Hôtel-de-Ville,3,25,48.856511,2.357058
GRAND HÔTEL MALHER,4,Hôtel-de-Ville,3,28,48.855689,2.361138
HÔTEL DU VIEUX MARAIS,4,Hôtel-de-Ville,3,29,48.859111,2.355399
HÔTEL FRANCE LOUVRE,4,Hôtel-de-Ville,3,34,48.856499,2.356182
HÔTEL JEANNE D'ARC MARAIS,4,Hôtel-de-Ville,3,34,48.855577,2.363218
HÔTEL POINTE RIVOLI,4,Hôtel-de-Ville,2,23,48.855161,2.360218
HÔTEL TURENNE LE MARAIS,4,Hôtel-de-Ville,3,41,48.855099,2.363443
HÔTEL BEAUBOURG,4,Hôtel-de-Ville,3,28,48.860143,2.353431
HÔTEL DE JOBO,4,Hôtel-de-Ville,4,24,48.855505,2.362096
HÔTEL DUPOND-SMITH,4,Hôtel-de-Ville,5,8,48.857898,2.357198
D'WIN,4,Hôtel-de-Ville,2,33,48.858689,2.353591
HÔTEL DE NICE,4,Hôtel-de-Ville,3,23,48.856594,2.355767
HÔTEL DU JEU DE PAUME,4,Hôtel-de-Ville,4,30,48.852031,2.356132
HÔTEL BASTILLE SPERIA,4,Hôtel-de-Ville,3,42,48.853938,2.367519
HÔTEL DU LOIRET,4,Hôtel-de-Ville,3,25,48.856928,2.355259
HÔTEL GORALSKA PARIS BASTILLE,4,Hôtel-de-Ville,4,12,48.848261,2.365873
HÔTEL PARIS RIVOLI,4,Hôtel-de-Ville,3,29,48.855991,2.357341
HÔTEL SANSONNET,4,Hôtel-de-Ville,3,18,48.858134,2.352733
HÔTEL DE LA HERSE D'OR,4,Hôtel-de-Ville,2,29,48.853706,2.366204
HÔTEL CARON,4,Hôtel-de-Ville,3,18,48.855063,2.362536
SULLY HÔTEL,4,Hôtel-de-Ville,1,22,48.854223,2.364289
HÔTEL DES DEUX ILES,4,Hôtel-de-Ville,3,17,48.852348,2.354971
HÔTEL ANDRÉA RIVOLI,4,Hôtel-de-Ville,3,32,48.858183,2.35029
VILLA MAZARIN,4,Hôtel-de-Ville,4,29,48.857351,2.354246
HÔTEL DU BOURG-TIBOURG,4,Hôtel-de-Ville,4,30,48.857214,2.355933
HÔTEL SAINT-LOUIS EN L'ISLE,4,Hôtel-de-Ville,3,20,48.852619,2.354221
HÔTEL CASTEX,4,Hôtel-de-Ville,3,30,48.852643,2.366049
HÔTEL DUO PARIS,4,Hôtel-de-Ville,4,58,48.858093,2.352974
HÔTEL DU 7ÈME ART,4,Hôtel-de-Ville,2,23,48.853481,2.361815
HÔTEL GARANCE CAROFFTEL GOBELINS,5,Panthéon,3,22,48.837419,2.351104
HÔTEL HENRI IV RIVE GAUCHE,5,Panthéon,3,23,48.851814,2.346192
HÔTEL ABBATIAL SAINT-GERMAIN,5,Panthéon,3,43,48.849732,2.350613
HÔTEL OBSERVATOIRE LUXEMBOURG,5,Panthéon,3,41,48.84367,2.339053
TIMHOTEL JARDIN DES PLANTES,5,Panthéon,3,33,48.843923,2.354702
HÔTEL MELIA COLBERT,5,Panthéon,4,39,48.851554,2.348534
HÔTEL LA LANTERNE,5,Panthéon,4,27,48.848934,2.348528
HÔTEL EXCELSIOR LATIN,5,Panthéon,3,65,48.84815,2.341975
HÔTEL CENTRAL SAINT GERMAIN,5,Panthéon,3,35,48.849797,2.342996
HÔTEL LE PETIT PARIS,5,Panthéon,4,20,48.845243,2.342425
HÔTEL DE LA SORBONNE,5,Panthéon,3,38,48.848111,2.342513
HÔTEL DU MONT BLANC,5,Panthéon,2,42,48.8532,2.345023
HÔTEL SUNNY,5,Panthéon,2,36,48.837568,2.346755
HOTEL LE LAPIN BLANC,5,Panthéon,4,27,48.849204,2.342216
HÔTEL ELYSA-LUXEMBOURG,5,Panthéon,3,32,48.846205,2.340938
HÔTEL DU PANTHÉON,5,Panthéon,4,35,48.845755,2.344855
HOTEL DE SENLIS,5,Panthéon,2,31,48.846284,2.342607
HÔTEL DES CARMES,5,Panthéon,2,30,48.849189,2.347702
HÔTEL NOTRE DAME,5,Panthéon,3,26,48.853055,2.346536
GRAND HÔTEL SAINT MICHEL,5,Panthéon,4,47,48.84786,2.342226
SELECT HÔTEL,5,Panthéon,4,66,48.848402,2.342579
HÔTEL DES GRANDS HOMMES,5,Panthéon,3,30,48.845716,2.345031
HÔTEL DE FRANCE QUARTIER LATIN,5,Panthéon,2,30,48.839387,2.350954
HOTEL ROYAL SAINT MICHEL,5,Panthéon,4,39,48.852836,2.34408
HÔTEL DES 3 COLLÈGES,5,Panthéon,3,44,48.847908,2.342368
HÔTEL DE SUEZ,5,Panthéon,2,49,48.849798,2.34258
HÔTEL CUJAS PANTHÉON,5,Panthéon,2,48,48.848049,2.342146
HÔTEL BEAUVOIR,5,Panthéon,3,29,48.83989,2.337383
HÔTEL BEST WESTERN LE JARDIN DE CLUNY,5,Panthéon,4,39,48.849821,2.346823
HÔTEL CLAUDE BERNARD,5,Panthéon,3,37,48.848965,2.346808
HÔTEL DU LEVANT,5,Panthéon,3,46,48.852259,2.344363
HÔTEL FAMILIA,5,Panthéon,2,30,48.847677,2.351601
VILLA PANTHÉON,5,Panthéon,4,59,48.848902,2.347046
HÔTEL MERCURE PARIS NOTRE DAME SAINT GERMAIN DES PRÉS,5,Panthéon,4,47,48.850314,2.345009
HÔTEL DES MINES,5,Panthéon,2,50,48.842695,2.338514
HÔTEL LE HOME LATIN,5,Panthéon,3,54,48.849946,2.346241
HÔTEL LIBERTEL AUSTERLITZ JARDIN DES PLANTES,5,Panthéon,3,51,48.842373,2.363255
THE FIVE HÔTEL,5,Panthéon,3,24,48.837799,2.34638
HÔTEL SEVEN,5,Panthéon,4,35,48.838978,2.345658
HÔTEL DES NATIONS SAINT GERMAIN,5,Panthéon,3,36,48.844809,2.352131
HÔTEL DES ARÈNES,5,Panthéon,3,52,48.844906,2.352319
